L,parratt_trace,kinematic_trace
3.385964912280698402e-01,2.382589262993236034e-01,nan
3.401913875598082670e-01,2.382589262993236034e-01,nan
3.417862838915466939e-01,2.382589262993236034e-01,nan
3.433811802232851207e-01,2.382589262993236034e-01,nan
3.449760765550236030e-01,2.316082890620693724e-01,nan
3.465709728867620298e-01,2.316082890620693724e-01,nan
3.481658692185004567e-01,2.316082890620693724e-01,nan
3.497607655502388835e-01,2.294329227843167618e-01,nan
3.513556618819773103e-01,2.294329227843167618e-01,nan
3.529505582137157371e-01,2.294329227843167618e-01,nan
3.545454545454542195e-01,2.294329227843167618e-01,nan
3.561403508771926463e-01,2.272779884974119591e-01,nan
3.577352472089310731e-01,2.251432942951668292e-01,nan
3.593301435406694999e-01,2.209338675153079135e-01,nan
3.609250398724079267e-01,2.168031429409508493e-01,nan
3.625199362041464091e-01,2.107514114151173845e-01,nan
3.641148325358848359e-01,2.048686048133601112e-01,nan
3.657097288676232627e-01,1.972795039377620019e-01,nan
3.673046251993616895e-01,1.899715317990558761e-01,nan
3.688995215311001163e-01,1.899715317990558761e-01,nan
3.704944178628385987e-01,1.881872361433079288e-01,nan
3.720893141945770255e-01,1.864196993722042617e-01,nan
3.736842105263154523e-01,1.846687640789756724e-01,nan
3.752791068580538791e-01,1.846687640789756724e-01,nan
3.768740031897923060e-01,1.812160756773465442e-01,nan
3.784688995215307328e-01,1.812160756773465442e-01,nan
3.800637958532692151e-01,1.812160756773465442e-01,nan
3.816586921850076419e-01,1.795140150921594457e-01,nan
3.832535885167460687e-01,1.761577032603788284e-01,nan
3.848484848484844956e-01,1.696321617735579712e-01,nan
3.864433811802229224e-01,1.648971367768035379e-01,nan
3.880382775119614047e-01,1.633483507981373095e-01,nan
3.896331738436998315e-01,1.633483507981373095e-01,nan
3.912280701754382584e-01,1.633483507981373095e-01,nan
3.928229665071766852e-01,1.633483507981373095e-01,nan
3.944178628389151120e-01,1.633483507981373095e-01,nan
3.960127591706535388e-01,1.633483507981373095e-01,nan
3.976076555023920212e-01,1.618141116942961588e-01,nan
3.992025518341304480e-01,1.602942828346739235e-01,nan
4.007974481658688748e-01,1.587887288719587175e-01,nan
4.023923444976073016e-01,1.558199105922675465e-01,nan
4.039872408293457284e-01,1.543563818892252915e-01,nan
4.055821371610842108e-01,1.514704336774397586e-01,nan
4.071770334928226376e-01,1.458594011725035944e-01,nan
4.087719298245610644e-01,1.431323180883199708e-01,nan
4.103668261562994912e-01,1.365355995234225628e-01,nan
4.119617224880379180e-01,1.327244149583560462e-01,nan
4.135566188197763449e-01,1.327244149583560462e-01,nan
4.151515151515148272e-01,1.327244149583560462e-01,nan
4.167464114832532540e-01,1.314778092444410240e-01,nan
4.183413078149916808e-01,1.302429121962335179e-01,nan
4.199362041467301077e-01,1.302429121962335179e-01,nan
4.215311004784685345e-01,1.278078052382315699e-01,nan
4.231259968102070168e-01,1.242402438379872631e-01,nan
4.247208931419454436e-01,1.230733251673325618e-01,nan
4.263157894736838704e-01,1.207722655134462614e-01,nan
4.279106858054222973e-01,1.185142279809135724e-01,nan
4.295055821371607241e-01,1.141240168396790572e-01,nan
4.311004784688991509e-01,1.078417396929039485e-01,nan
4.326953748006376332e-01,1.038468775134351180e-01,nan
4.342902711323760601e-01,1.019052881421936424e-01,nan
4.358851674641144869e-01,1.000000000000000056e-01,nan
4.374800637958529137e-01,1.000000000000000056e-01,nan
4.390749601275913405e-01,9.906075629392971371e-02,nan
4.406698564593298229e-01,9.906075629392971371e-02,nan
4.422647527910682497e-01,9.813033437525335578e-02,nan
4.438596491228066765e-01,9.813033437525335578e-02,nan
4.454545454545451033e-01,9.360767864523583670e-02,nan
4.470494417862835301e-01,9.272847441516195166e-02,nan
4.486443381180219570e-01,9.099476200466968812e-02,nan
4.502392344497604393e-01,8.929346421914831355e-02,nan
4.518341307814988661e-01,8.598569967363345334e-02,nan
4.534290271132372929e-01,8.358553903745903624e-02,nan
4.550239234449757197e-01,8.202276894681642672e-02,nan
4.566188197767141466e-01,7.973322752256319090e-02,nan
4.582137161084526289e-01,7.824248277607280533e-02,nan
4.598086124401910557e-01,7.824248277607280533e-02,nan
4.614035087719294825e-01,7.750759518112540492e-02,nan
4.629984051036679094e-01,7.677960997166025092e-02,nan
4.645933014354063362e-01,7.677960997166025092e-02,nan
4.661881977671448185e-01,7.534408799720553052e-02,nan
4.677830940988832453e-01,7.324097184108022129e-02,nan
4.693779904306216721e-01,7.052785177060789945e-02,nan
4.709728867623600990e-01,6.855917355764606924e-02,6.560544576507076897e-02
4.725677830940985258e-01,6.727734625702834481e-02,6.791523583507208528e-02
4.741626794258369526e-01,6.539940098467149354e-02,7.030634735796890966e-02
4.757575757575754349e-01,6.238525681114847482e-02,7.030634735796890966e-02
4.773524720893138618e-01,6.007427310761214584e-02,7.030634735796890966e-02
4.789473684210522886e-01,5.895108507400267234e-02,7.030634735796890966e-02
4.805422647527907154e-01,5.730555477778552509e-02,6.855917355764606924e-02
4.821371610845291422e-01,5.730555477778552509e-02,6.577074888405107234e-02
4.837320574162676245e-01,5.730555477778552509e-02,6.309573444801935826e-02
4.853269537480060514e-01,5.676731596130651231e-02,6.052951765158252895e-02
4.869218500797444782e-01,5.676731596130651231e-02,5.806767349941285156e-02
4.885167464114829050e-01,5.570595696868664570e-02,5.806767349941285156e-02
4.901116427432213318e-01,5.364239956225908684e-02,5.806767349941285156e-02
4.917065390749597587e-01,5.117011505108637337e-02,5.806767349941285156e-02
4.933014354066982410e-01,4.974177875376836755e-02,5.895108507400267234e-02
